'bi'kang'de 鼻康德
'biao'er'cha'su'mo'shi'zi'suan'zhi 表儿茶素没食子酸酯
'biao'er'cha'su'mei'shi'zi'suan'zhi 表儿茶素没食子酸酯
'shun'jing'tang 顺经汤
'shun'jing'shang 顺经汤
'jia'jian'shuang'jie'tang 加减双解汤
'jia'jian'shuang'jie'shang 加减双解汤
'zi'hua'shao'shang'gao 紫花烧伤膏
'jia'wei'can'su'yin 加味参苏饮
'jia'wei'shen'su'yin 加味参苏饮
'jia'wei'cen'su'yin 加味参苏饮
'jia'wei'san'su'yin 加味参苏饮
'ban'long'san 斑龙散
'an'jing'wan 安惊丸
'xiao'er'qing'fei'zhi'ke'pian 小儿清肺止咳片
'huang'jing'zhi 黄荆枝
'huang'jing'qi 黄荆枝
'wu'ji'san 乌鸡散
'tui'yun'jiu 推云酒
'hong'sheng 红升
'neng'an'jun'ning'jiao'nang 能安均宁胶囊
'nai'an'jun'ning'jiao'nang 能安均宁胶囊
'neng'an'yun'ning'jiao'nang 能安均宁胶囊
'nai'an'yun'ning'jiao'nang 能安均宁胶囊
'ji'yin'da'zao'wan 济阴大造丸
'bai'jin'hua 百金花
'xiao'er'xie'xie 小儿泄泻
'bu'chang'wen'xin'ke'li 步长稳心颗粒
'xin'shu'bao'jiao'nang 心舒宝胶囊
'liang'fu'jian'zhong'tang 良附建中汤
'liang'fu'jian'zhong'shang 良附建中汤
'hai'zao'xiao'zheng'tang 海藻消症汤
'hai'zao'xiao'zheng'shang 海藻消症汤
'tan'huo'fang 痰火方
'xi'xin'san 细辛散
'wei'yu 鮠鱼
'chao'jue'ming'zi 炒决明子
'zi'shi 梓实
'si'huan'su'yan'gao 四环素眼膏
'shen'gong'nei'tuo'san 神功内托散
'shen'ling'bai'zhu'jiang'gui'tang 参苓白术姜桂汤
'shen'ling'bai'shu'jiang'gui'tang 参苓白术姜桂汤
'shen'ling'bai'zhu'jiang'gui'shang 参苓白术姜桂汤
'shen'ling'bai'shu'jiang'gui'shang 参苓白术姜桂汤
'gui'mi'tang 桂蜜汤
'gui'mi'shang 桂蜜汤
'qing'kong'tang 青空汤
'qing'kong'shang 青空汤
'yan'suan'na'luo'tong'zhu'she'ye 盐酸纳洛酮注射液
'guan'huang'bai 关黄柏
'bai'gou'teng 白钩藤
'liang'qi'liao 两栖蓼
'liang'xi'liao 两栖蓼
'liang'qi'lu 两栖蓼
'liang'xi'lu 两栖蓼
'mao'man'tuo'luo 毛曼陀罗
'yin'chen'hao'tang'zhi'yang'huang 茵陈蒿汤治阳黄
'yin'chen'hao'shang'zhi'yang'huang 茵陈蒿汤治阳黄
'shen'shu'ke'li'wu'tang'xing 肾舒颗粒无糖型
'ji'yu'dan'gao 鲫鱼胆膏
'ge'lei'guo'shi 葛藟果实
'tao'nu'wan 桃奴丸
'jin'long'an'gong'niu'huang'wan 金龙安宫牛黄丸
'zhen'po'huo'ming'dan 珍珀活命丹
'ning'meng'ye 柠檬叶
'ning'meng'xie 柠檬叶
'can'gan'gui'shao'gua'lou'tang 参甘归芍瓜蒌汤
'shen'gan'gui'shao'gua'lou'tang 参甘归芍瓜蒌汤
'cen'gan'gui'shao'gua'lou'tang 参甘归芍瓜蒌汤
'san'gan'gui'shao'gua'lou'tang 参甘归芍瓜蒌汤
'can'gan'gui'shao'gua'lou'shang 参甘归芍瓜蒌汤
'shen'gan'gui'shao'gua'lou'shang 参甘归芍瓜蒌汤
'cen'gan'gui'shao'gua'lou'shang 参甘归芍瓜蒌汤
'san'gan'gui'shao'gua'lou'shang 参甘归芍瓜蒌汤
'pu'huang'tong'yu'jian 蒲黄通瘀煎
'huo'xue'chu'feng'tang 活血除风汤
'huo'xue'chu'feng'shang 活血除风汤
'chu'wen'hua'du'san 除瘟化毒散
'chu'wen'hua'dai'san 除瘟化毒散
'jian'feng'xiao 见风消
'yin'da'pa'an'di'wan 吲达帕胺滴丸
'su'ting'ding'chuan'wan 苏葶定喘丸
'ning'fei'tang 宁沸汤
'ning'fei'shang 宁沸汤
'san'qi'cha 三七茶
'wei'qi'shang'ni'zheng 胃气上逆证
'hua'lian'xi'xin 花脸细辛
'zhu'lin'biao 竹林标
'kun'sui'gao 坤髓膏
'er'ke'shi'xing'bing'bai'hou'bing 儿科时行病白喉病
'hong'xue'cha 红雪茶
'zhi'yao'chu'shi'tang 治要除湿汤
'zhi'yao'chu'shi'shang 治要除湿汤
'ye'hai'jiao 野海椒
'fei'li'ke'he'ji 肺力咳合剂
'fei'li'hai'he'ji 肺力咳合剂
'pi'pa'ye'san 枇杷叶散
'shu're'chi'sheng'zheng 暑热炽盛证
'shu're'zhi'sheng'zheng 暑热炽盛证
'fu'ke'yang'rong'jiao'nang 妇科养荣胶囊
'cu'suan'ke'di'song'pian 醋酸可的松片
'chang'shan'gui'xin'wan 常山桂心丸
'jie'gu'xiao 接骨消
'zong'hui'san 棕灰散
'kui'hua'tou'bao'qiang'an'bian'ke'li 葵花头孢羟氨苄颗粒
'kang'zai'chun'pian 糠甾醇片
'shou'wu'ji'sheng'ji'dan'tang 首乌寄生鸡蛋汤
'di'ren'gen 地稔根
'de'ren'gen 地稔根
'shou'tui'zhen 瘦腿针
'e'jiao'huang'lian'yin 阿胶黄连饮
'a'jiao'huang'lian'yin 阿胶黄连饮
'you'xuan'bu'luo'fen'shuan 右旋布洛芬栓
'ge'ping 格平
'er'xiu'lv'bing'wan 二溴氯丙烷
'yan'xian'an'pian 烟酰胺片
'huai'yao 怀药
'ding'tong'jiang'qi'yin 定痛降气饮
'yan're'qing'ke'li 炎热清颗粒
'xie'ye 薤叶
'xie'xie 薤叶
