'kang'gan'ling 抗感灵
'shang'hai'hai'hong'shi'ye'ji 上海海虹实业集
'fen'ti'kang'zuo 芬替康唑
'bi'kang'de 鼻康德
'biao'er'cha'su'mo'shi'zi'suan'zhi 表儿茶素没食子酸酯
'biao'er'cha'su'mei'shi'zi'suan'zhi 表儿茶素没食子酸酯
'fang'gui'shu'ling'san 防桂术苓散
'fang'gui'zhu'ling'san 防桂术苓散
'lv'xiao'xi'pan 氯硝西泮
'shun'jing'tang 顺经汤
'shun'jing'shang 顺经汤
'jia'jian'shuang'jie'tang 加减双解汤
'jia'jian'shuang'jie'shang 加减双解汤
'zi'hua'shao'shang'gao 紫花烧伤膏
'jin'gui'gan'le 金龟肝乐
'jin'gui'gan'yue 金龟肝乐
'jin'gui'gan'lao 金龟肝乐
'ban'long'san 斑龙散
'qing'lu'yin 清露饮
'an'jing'wan 安惊丸
'xiao'er'qing'fei'zhi'ke'pian 小儿清肺止咳片
'huang'jing'zhi 黄荆枝
'huang'jing'qi 黄荆枝
'wu'ji'san 乌鸡散
'ru'gan'jun'huo'jun 乳杆菌活菌
'tui'yun'jiu 推云酒
'lin'tuo'zhi'ke'tang 淋拓枳壳汤
'lin'ta'zhi'ke'tang 淋拓枳壳汤
'lin'zhi'zhi'ke'tang 淋拓枳壳汤
'lin'tuo'zhi'ke'shang 淋拓枳壳汤
'lin'ta'zhi'ke'shang 淋拓枳壳汤
'lin'zhi'zhi'ke'shang 淋拓枳壳汤
'neng'an'jun'ning'jiao'nang 能安均宁胶囊
'nai'an'jun'ning'jiao'nang 能安均宁胶囊
'neng'an'yun'ning'jiao'nang 能安均宁胶囊
'nai'an'yun'ning'jiao'nang 能安均宁胶囊
'bi'te'li 比特力
'yi'di'suan'gai'na'zhu'she 依地酸钙钠注射
'yi'de'suan'gai'na'zhu'she 依地酸钙钠注射
'bai'jin'hua 百金花
'xiao'er'xie'xie 小儿泄泻
'bu'chang'wen'xin'ke'li 步长稳心颗粒
'yin'qiao'bai'hu'tang 银翘白虎汤
'zhi'liao'yong'nian'zhi'sha'lei 治疗用粘质沙雷
'hai'zao'xiao'zheng'tang 海藻消症汤
'hai'zao'xiao'zheng'shang 海藻消症汤
'kai'yu'hua'tan'tang 开郁化痰汤
'kai'yu'hua'tan'shang 开郁化痰汤
'pan'tuo'la'zuo'na'chang'rong'jiao'nang 泮托拉唑钠肠溶胶囊
'xi'xin'san 细辛散
'gua'ding'huan'geng'tong 呱啶环庚酮
'gu'ding'huan'geng'tong 呱啶环庚酮
'zhen'qi'fu'zheng'pian 贞芪扶正片
'mei'si'na 美司那
'mei'si'ne 美司那
